	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CCDC17	CSRNP3	CXXC4	DACH1	DZIP1	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HES6	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	PROX1	RFX6	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF853	ZNF883
BIOCARTA_ACE2_PATHWAY																																			ACE AGT							ACE AGT																								
BIOCARTA_BAD_PATHWAY																		ADCY1 BCL2																										ADCY1 BCL2			ADCY1 BCL2											ADCY1 BCL2 KIT	BCL2 KIT							
BIOCARTA_BOTULIN_PATHWAY			CHRNA1 SNAP25 STX1A												CHRNA1 SNAP25 STX1A	SNAP25 STX1A			SNAP25 STX1A													CHRNA1 SNAP25 STX1A	CHRNA1 SNAP25 STX1A	CHRNA1 SNAP25	SNAP25 STX1A				CHRNA1 SNAP25 STX1A			SNAP25 STX1A								CHRNA1 SNAP25		CHRNA1 STX1A		CHRNA1 SNAP25 STX1A												
BIOCARTA_CARDIACEGF_PATHWAY																														ADAM12 AGT		ADAM12 AGT										ADAM12 AGT													ADAM12 AGT											
BIOCARTA_CK1_PATHWAY																																							CDK5R1 DRD2																											
BIOCARTA_GHRELIN_PATHWAY														GHRL SST	GHRL SST	GHRL SST																																																		
BIOCARTA_IL2RB_PATHWAY																																												BCL2 SOCS1																						
BIOCARTA_KERATINOCYTE_PATHWAY		PRKCG PRKCH																			PRKCG PRKCH																																						BCL2 PRKCH							
BIOCARTA_LAIR_PATHWAY																																										C7 ITGA4				C7 ITGA4																				
BIOCARTA_LIS1_PATHWAY				CDK5R1 DCX																																																														
BIOCARTA_MAPK_PATHWAY													MAP3K12 MAPK10													MAP3K12 MAPK12																																								
BIOCARTA_MELANOCYTE_PATHWAY																																																										BCL2 KIT	BCL2 KIT							
BIOCARTA_MPR_PATHWAY				ADCY1 MYT1														ADCY1 MYT1																																																
BIOCARTA_MTA3_PATHWAY																			GREB1 TUBA1A													GREB1 TUBA1A	GREB1 TUBA1A																																	
BIOCARTA_NO1_PATHWAY														CHRNA1 FLT1 PDE2A			CHRNA1 FLT1																	CHRNA1 FLT1 PDE2A			CHRNA1 FLT1 PDE2A															CHRNA1 FLT1 PDE2A														
BIOCARTA_NOS1_PATHWAY																																													GRIN1 GRIN2C																			GRIN1 GRIN2C		
BIOCARTA_PDZS_PATHWAY			DLG2 NFASC													DLG2 NFASC		DLG2 NFASC	DLG2 NCAM1																				DLG2 NCAM1			DLG2 GRIN1 NCAM1			GRIN1 NCAM1					GRIN1 NFASC		DLG2 GRIN1 NCAM1 NFASC			DLG2 NFASC											
BIOCARTA_PRION_PATHWAY																																APLP1 BCL2										APLP1 BCL2		APLP1 BCL2	APLP1 BCL2									APLP1 BCL2				APLP1 BCL2								
BIOCARTA_TFF_PATHWAY																																															MUC2 TFF2																			
KEGG_ABC_TRANSPORTERS				ABCA9 ABCC4 ABCC8													ABCA9 ABCC4																																				ABCA9 ABCC4 ABCC8						ABCA9 ABCC8			ABCA9 ABCC9		ABCC4 ABCC8 ABCC9		
KEGG_ACUTE_MYELOID_LEUKEMIA																															CCNA1 KIT																																			
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY																																							ACSL6 AKT3 CPT1C MAPK10																											
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION																																																															ATP1A3 PRKCG			
KEGG_ALZHEIMERS_DISEASE																					APBB1 CDK5R1 ITPR1																																													
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	GRIA2 GRIN1		MAPK12 NEFL PRPH SLC1A2				GRIA2 GRIN2C PRPH									BCL2 MAPK12 NEFM SLC1A2			BCL2 GRIA2 NEFM PRPH SLC1A2							MAPK12 NEFM	GRIA2 NEFM							GRIA2 NEFM PRPH SLC1A2	BCL2 NEFM PRPH SLC1A2							BCL2 GRIN1 MAPK12 NEFM	BCL2 GRIA2 SLC1A2		BCL2 GRIN1 GRIN2C NEFM		BCL2 NEFL			GRIN1 MAPK12 NEFL	GRIA2 PRPH	GRIA2 GRIN1 GRIN2C NEFL PRPH SLC1A2	GRIN2C MAPK12 NEFL SLC1A2					BCL2 GRIN2C MAPK12 NEFM	BCL2 MAPK12					GRIN1 GRIN2C MAPK12		
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC			ACTN3 CACNA1C CACNA2D1 CACNA2D2 ITGA7 SLC8A1	ACTN3 CACNB4 ITGA7	ACTN3 CACNA2D2 CACNB4 ITGA7							CACNA1C CACNA2D2 CACNB2 CACNG6	CACNA2D2 ITGA4	ACTN3 CACNA2D1 CACNA2D2 CACNG6 CACNG7 ITGA7 SLC8A1	ACTN3 CACNA1C CACNA2D1 CACNA2D2 CACNB2 CACNB4 CACNG7 ITGA7 SLC8A1				ACTN3 CACNA1C CACNB4 CACNG6											CACNA1C CACNB4 SGCD		ACTN3 CACNA1C CACNA2D2 CACNB4 CACNG6	ACTN3 CACNA2D1 CACNB4 CACNG6 ITGA7	CACNA1C CACNA2D1 CACNA2D2 CACNG4 CACNG6 ITGA7 SGCD SLC8A1	CACNA1C CACNA2D2 CACNB4 CACNG4 CACNG6 ITGA4 ITGA7 SGCD SLC8A1			CACNA2D1 CACNB4 CACNG6 SLC8A1	CACNA1C CACNA2D1 CACNG4 CACNG6 ITGA4 SLC8A1		CACNB2 CACNG7 ITGA4		CACNA1C CACNA2D1 CACNA2D2 CACNB2 SLC8A1	CACNA2D1 CACNA2D2 CACNB4 CACNG6 ITGA7	ACTN3 CACNA2D1 CACNA2D2 CACNB4 CACNG6 ITGA7	ACTN3 ITGA4 ITGA7 SLC8A1	CACNA2D1 CACNA2D2 CACNB4	CACNA2D1 CACNA2D2 CACNB4		CACNB2 CACNB4 CACNG4 CACNG6 ITGA7 SLC8A1	CACNB2 CACNG7 ITGA4	CACNA2D1 CACNA2D2 CACNB4 CACNG4 CACNG6 CACNG7 SLC8A1	CACNA1C CACNA2D2 CACNB4 CACNG7 ITGA4 ITGA7 SGCD	CACNA1C CACNA2D1 CACNA2D2 CACNB4 CACNG7 ITGA7 SGCD SLC8A1	CACNA1C CACNA2D2 CACNB4 CACNG6 ITGA7 SLC8A1			ACTN3 CACNA1C CACNA2D1 CACNA2D2 CACNB4 CACNG4 ITGA7				CACNA1C CACNB2 SGCD SLC8A1				CACNA1C CACNA2D2 ITGA7
KEGG_AXON_GUIDANCE														EFNB3 EPHA4 EPHA8 EPHB3 PAK6 PLXNC1 ROBO1 SEMA6B					ABLIM2 EPHA4 PAK6 PLXNC1 ROBO1 SEMA6B								ABLIM2 CXCL12 NFAT5 ROBO1	ABLIM2 EFNB3 EPHB3 NFAT5 PLXNC1 ROBO1 SEMA6B			CXCL12 EPHA8 PAK3					EPHA8 PAK3			ABLIM2 CXCL12 EFNB3 EPHA4 EPHB3 PAK3 PAK6 PLXNC1 ROBO1 SEMA6B					EFNB3 EPHB3 PAK6 PLXNC1 ROBO1 SEMA6B	ABLIM2 CXCL12 EFNB3 NFAT5 PAK6 PLXNC1 ROBO1 SEMA6B								EFNB3 EPHA4 EPHB3 NFAT5 PAK6 PLXNC1 ROBO1 SEMA6B				EFNB3 EPHA4 NFAT5 SEMA6B									
KEGG_BASAL_CELL_CARCINOMA																																								FZD4 PTCH1 WNT9A																				FZD4 WNT9A				FZD4 PTCH1 WNT9A		
KEGG_BETA_ALANINE_METABOLISM			GAD2 SRM																																																															
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY																												AKT3 NFAT5 PLCG2																																						
