	ARX	ASCL1	ASCL2	ETV1	FEV	FOXD4L5	FOXJ1	GATA2	HMBOX1	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROG3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	ZNF519	ZNF846
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.109554392997	1	1	1	1	1	1	1
KEGG_TYPE_II_DIABETES_MELLITUS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.296833114593	1	1	1	1	1
NABA_MATRISOME	1	1	1	1	1	1	1	1	1	1	1	0.493999835715	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_CARDIAC_CONDUCTION	1	1	1	0.205620866577	0.0107729685665	1	1	1	1	1	1	1	0.359440046059	1	0.104145721926	1	1	1	1	1	1	1	1	1	0.038833165005	1	0.47603335384	1	1	1
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	1	1	1	1	0.816072629005	1	1	1	1	1	1	1	1	1	1	0.132894299794	1	1	1	1	1	1	1	1	1	1	1	0.129371669272	1	1
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	1	1	1	1	0.36826741027	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	1	1	1	0.593455273557	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INSULIN_PROCESSING	1	1	1	1	1	1	1	1	1	0.578128820507	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	1	1	1	1	0.00812052501147	1	1	1	1	0.0777412551105	1	1	1	1	1	1	0.59313866847	1	1	1	1	1	1	1	1	1	1	1	1	1
REACTOME_ION_CHANNEL_TRANSPORT	1	1	1	1	1	1	1	0.150193980113	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
