	ARX	ASCL1	ASCL2	ETV1	FEV	FOXJ1	GATA2	LMX1A	LMX1B	MAFA	MAFB	NEUROD1	NEUROG3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	ZNF519	ZNF846
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0.020309996351142612	0.04747934767122941	1	0.040763577147689856	0.042790015289984495	1	1	1	1	0.007463213175690653	0.04513050118231732	0.00031056769431314635	1	1	0.0488681926344634	0.045651124428268686	0.018965048329917855	0.08909121156939359	1	5.78343185786423e-07	0.027410377206035563	1	1	1	0.00758785451221522	0.038616874848642624	0.013551289997419502
KEGG_TYPE_II_DIABETES_MELLITUS	0.09859215043435043	4.658995872686145e-05	0.0006057620723428636	0.0005536001610179087	0.003401924160758907	1	8.352589238702635e-06	0.00014148272745118096	1	0.016165438448718095	0.0007053936324468157	3.5232180997546436e-05	0.0042403745553400984	0.001696967982062536	0.029170678178584986	0.00044157534797617526	0.004300152805790991	0.002421147535113022	0.0854633951192898	0.0029318077611324433	0.00021533167942999754	1.5671542249462433e-06	0.0015232667737091754	0.03268522077958169	0.016469996766036554	0.02081845386116954	0.01477868305497576
NABA_MATRISOME	1.662940583302408e-05	0.029970375603810773	0.008501065140739117	0.00026568042161256855	0.0004252830686547471	0.001048776192104084	0.0014019101835512915	0.0014767820385949149	0.0006295486471252776	2.608263211412165e-06	8.44453194204231e-06	8.809159339562278e-05	0.0003167500545100399	0.0019976132561548843	0.058712458408970325	0.006937435703350592	0.004045836256014512	0.059595697732179986	1	1	0.0005235682047619594	1	1.8412811504830984e-05	0.00016285025291762345	0.0016900135685987694	1	0.005332548977136531
REACTOME_CARDIAC_CONDUCTION	9.502303204544926e-05	0.00013201690521880138	3.399735319031816e-05	1.0855631926709464e-06	5.686324155984579e-08	1	0.003643461979261464	0.006929990622546622	0.0036756435106584107	0.00011501530087698608	1.8977326156077723e-06	0.0004947956556742295	5.497876350846198e-07	0.0013771843458110222	0.0007639907438905524	0.0005955898809483218	1.5901813089969075e-05	0.05801474215829505	0.0030346076441927217	3.110718546539548e-05	6.894128006951217e-05	2.0499033992482651e-07	4.247635416765316e-05	2.5133889505202234e-06	3.113826639167261e-05	0.00032119529831975413	2.165187043001726e-05
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	0.003284199575351643	0.011375096281330821	0.016064427904871503	0.0003320189456419431	4.30911237547793e-06	1	0.03746569861234694	0.0024698563826028863	0.00020842482938077111	0.00021402251950941587	0.002863832719509407	0.007819367546148981	0.0023720182966884273	7.015742533589275e-07	0.029563582334050653	0.009666663856244262	0.005551108808123928	0.00323441257452739	0.058866518800649525	0.005047503497332073	0.0010826195825189844	0.036872004083008836	8.519841268705974e-05	0.0003285100389550655	6.829740121228056e-07	0.004727309996077178	0.00020603997339319058
REACTOME_G_ALPHA_Z_SIGNALLING_EVENTS	0.0008701510717187277	0.02956062121096159	0.03335444369457519	0.003442338021492075	1.9443486424242096e-06	0.01932557240811461	0.0006604174540528751	0.006399001398655901	0.001644616566989554	0.00011944525439011588	0.018589041765517123	1	0.09679276614487853	0.0018954082677173911	0.004759153818977957	0.004160138254401535	0.02401599918794084	4.4279964221072277e-05	0.0015177151390550758	0.003217610225739076	0.008473937611205518	0.005923202022921514	0.007916831859883344	0.03495609360755625	0.00012344663177055182	1	0.01587248243935735
REACTOME_HIGHLY_CALCIUM_PERMEABLE_NICOTINIC_ACETYLCHOLINE_RECEPTORS	1	1	0.007230205665147094	3.1335090213691075e-06	0.002266415526313015	0.0001316226374539209	1	0.019523415058160465	1	0.0001111551393573329	1	0.0001846046698872339	0.01689382156046637	6.288929829645351e-05	1	1	0.017000038379341498	1	1	0.014334949379341322	1	0.018850396026293792	0.0001958847508941597	0.021250806060217897	0.03150166562759271	1	0.01336414184533996
REACTOME_INSULIN_PROCESSING	0.0003707912093616761	1	1	0.001267469798930998	0.0001594549505411491	1	0.0002906702345020218	3.0525353128529886e-06	0.0053729638567988625	0.052906983629702475	0.010343074066831437	0.04991664456434863	0.023124208863982032	0.036793532804621276	1	1	0.023323951259322073	1	0.03169614396492049	1	0.03354191602576184	0.02686542708646955	0.0027108692692089376	0.031620326598956305	0.010013515563144226	1	1
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	0.00022997109304057073	0.0008043000556866575	0.0051725844095943385	0.04999258263658668	4.286255317342835e-08	0.039901058796545374	2.9081601088831732e-05	4.1038702192075505e-07	0.00237250755318541	3.677968731052861e-05	4.259416867868904e-05	0.003217962517891415	0.011969380595733825	0.00018155738929981347	3.131820775381655e-06	1.714578373612774e-05	0.038094410892414055	0.0014825164865743812	0.005316758776665598	0.00044273880557843537	2.7621748693085202e-05	0.00028898166099755596	9.153706520881322e-06	0.0019136012587483986	0.007596938469447756	0.04644921511121447	0.022346047024353388
REACTOME_ION_CHANNEL_TRANSPORT	3.0304797543845297e-05	0.0011480806860273418	8.646445633320177e-05	5.691834674326213e-05	5.598836219422587e-06	0.06876734033837717	7.929067379341959e-07	0.01611843618912956	0.0004184568904259667	0.0022268288659127444	2.7547990990028914e-05	0.09995134022528385	0.00984962543921386	0.012674087466783779	0.0012847154459266763	1	8.896620919418563e-05	0.0040454342921358855	1	0.005504780398869036	0.003615648067716859	0.0017767128782225639	0.00044582420910310727	2.292075820742312e-05	0.03390819340361284	0.0021917206344606033	0.08028630253406954
REACTOME_MUSCLE_CONTRACTION	2.8280777249811706e-05	0.0001480770343373905	5.059177021582428e-05	3.805062581685448e-07	1.2965614915039225e-07	0.09798712880172555	0.006437947689901802	0.013023091516799923	0.003428485362960809	0.0002926266228422403	3.528667071861502e-05	0.001718605605595891	1.974862262410504e-05	0.00433967671239277	0.0007122514528128399	0.007336000943709342	7.817111933416943e-05	0.05501882510993128	0.02004415315036634	2.8035217376154442e-05	0.0003651477086812349	1.2745618938048153e-07	2.1673628436191805e-05	6.192678388639017e-06	3.1014708247845135e-05	0.0002538076202854844	4.2005169729186775e-06
REACTOME_NEURONAL_SYSTEM	1.5931445052075333e-10	2.606959093043315e-11	3.217179855852237e-10	1.8442469773560788e-11	2.959499312282787e-11	8.503194137698955e-08	1.1032859958959307e-08	3.800404435594373e-12	1.7373273863974248e-07	8.835598919176846e-11	1.0193135224767502e-10	1.2639950208725992e-07	1.2572189955761814e-09	2.422334666185577e-09	6.2271665863811165e-06	8.772644649601702e-07	8.792502684817904e-07	2.1969411312383613e-07	1.161100267932369e-06	1.2951528738369689e-11	2.004940657940324e-11	2.220135186803418e-11	6.956102360788918e-12	4.173850154387537e-11	2.855281566738199e-10	3.7192581814338155e-06	3.086749589820137e-06
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	2.8280777249811706e-05	0.0001480770343373905	0.00022439234868987246	5.661178561044977e-06	2.052820907150199e-06	0.0007707923991916443	0.0022320791291620123	3.3093679902007622e-06	0.003428485362960809	2.9057289899769856e-05	0.015481526097578024	0.0200628384455791	0.0008850574046878057	5.0277068832316196e-05	0.02753035889130584	0.0005300532589419538	0.007806217447227204	0.00025728906186572864	0.02004415315036634	1.502852489121409e-06	0.00011130129669867372	5.866322206893315e-07	2.1673628436191805e-05	2.3666563799595863e-05	2.4799589737334315e-06	0.014580779517915476	0.008940442275727434
REACTOME_PEPTIDE_HORMONE_METABOLISM	0.00026425946721708726	1	1	9.981156693250615e-05	4.553232713200295e-06	0.0920079006370047	5.0069972824529074e-06	4.815708498639992e-09	0.010184705273436068	0.0021891259839809107	0.0024096110824152195	1	0.017105305636757273	0.011754743376363064	1	1	0.01735767825289314	1	1	1	0.031912123844228035	0.06753567883950806	2.3492147654513573e-05	0.0022512246703570993	0.0005747935866448062	1	1
REACTOME_PHASE_0_RAPID_DEPOLARISATION	0.0004186741830264351	0.0027599993068192497	0.0032744694632302895	4.334447918363793e-07	4.985452628836207e-06	0.08892460454380968	0.014051087298875942	0.0005373778645012539	0.025104690066981017	0.01019257452912603	0.0021130056486980964	1	3.506387632468133e-07	0.00558177664186843	0.00030844106962868434	0.00025880515730147824	4.2449978921443865e-05	1	0.009348812064829293	0.00022505875324974056	0.0007687279556537474	5.999947152546259e-05	0.0001230672287273471	1.0025647935063553e-05	0.0020146458681458146	0.015419639293276943	0.0015056454453212798
REACTOME_PHASE_2_PLATEAU_PHASE	0.00258711275754675	1	0.05169047199275134	0.006802060723621883	8.63628437430819e-06	0.0031342408912948816	0.0021353743609967557	0.0003153806311118057	0.004038279911214637	0.00010470259966721684	0.0001132288354404043	1	0.00022130796512342954	1	2.3437377044910335e-05	0.0003455125238421841	0.0023537292785662522	1	0.0021291076163272304	0.0016963082334496837	2.713832717660125e-06	0.0002894453485371429	0.00023293471005991773	0.00038797496323872416	0.001010487814351868	0.038616874848642624	1
REACTOME_POTASSIUM_CHANNELS	3.0224371700748875e-05	1.8200729812178906e-10	2.693101564310574e-06	3.010625082566776e-11	1.2972898488783358e-07	0.0014252708396125247	0.00010075914448759438	8.60625677379101e-06	0.0004187813704097376	8.29138997460177e-07	9.938205813853074e-11	1.1960750090356242e-07	1.1648203845915361e-08	0.007345161665021749	0.015844931711328614	0.002918673776824865	4.083342230232212e-06	0.0002242264331724364	1.1399909142895126e-05	1.6107786116048572e-06	0.0003914884300743049	1.8000923407424096e-07	8.426428443897294e-10	2.3978586324302498e-06	2.3198885510611333e-05	0.0003044836735813794	1.0949048004915696e-06
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	0.026453572866442676	0.009890704281263596	0.01083476631213176	0.0002498880345742638	1.1995011775955966e-05	0.007207607096610835	0.0015964936280964404	3.6460957133499505e-06	0.033275178937680505	0.004334196603577811	1.3310221151252577e-05	1	0.02504448535985493	0.0028660736434277245	1.2170194453431371e-05	0.00038601955549188993	0.02519943837245786	0.01960163222977762	0.00553319479622727	1.6366597362926782e-06	1.353263595627041e-07	9.781993852309157e-05	0.0004837360181016992	0.00012514707431843242	0.004392662014841342	0.007934413672658569	1
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	1	1	1	1	1	1	1	1	0.006724718237926974	0.009434955190604333	1	1.5127614461096783e-07	0.004985741597263393	1	1	1	1	1	1	9.3402869538739e-07	1	1	1	1	0.009522416501854813	1	1
REACTOME_REGULATION_OF_INSULIN_SECRETION	8.732039933034841e-05	0.0007786036010715147	0.005783277386195773	0.010287654318716033	1.249500756195232e-07	0.013918581825796972	5.8186568990814536e-05	4.245686244797042e-07	0.004716669746033686	3.3199628123870006e-05	3.78053288786484e-05	0.0038370139338814724	0.002019846377761647	0.0002734445257502882	1.4615830694064691e-05	1.1086701953266775e-05	0.008979072522672271	0.00016541116517077015	0.04740053778331088	3.566744851191128e-05	3.742050758515081e-05	1.781668361544586e-05	4.710341386382488e-06	0.0008891897309251107	0.012078325431514658	0.016423924181071525	0.004931949016491188
REACTOME_STIMULI_SENSING_CHANNELS	0.0009470317026593067	0.0635253252374981	0.004944223183423246	0.0017380788537106895	6.458874946102533e-06	0.008987387434801208	4.640355687923758e-06	0.004988284056441472	0.0078110131350925815	0.006947847986837896	0.002343302720113294	1	0.036158221882304	1	0.0001430505685062755	0.05957662368838612	0.011603621931407626	0.0643115559429035	1	0.025143329793668512	0.007434883227733113	0.045763962883556886	0.001897468050665485	9.877234909971833e-05	1	0.045151447631754715	1
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP_	0.00018275822668345487	1	1	2.8881296833427328e-05	3.170999804313901e-05	0.010063653676291473	0.002676991291124531	3.215992719907135e-07	0.04557088780356544	0.0005700244728303883	1	1	0.0028613127450765052	0.04793506021806482	1	1	0.03467808731075139	0.0019718195335038935	1	0.02939294221586608	1	1	6.613685183853857e-05	0.00026025074755220423	0.0005803814175122657	1	1
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	4.941670739277981e-09	2.5926933949427244e-05	1.0310295715187934e-05	9.519854319295362e-07	7.253493916614673e-09	8.901090802004852e-05	3.5166130557651165e-05	1.3056422609736273e-10	3.589764127531758e-05	1.5456803071911551e-06	5.970433807600539e-05	0.00096870036747565	4.780611439358928e-05	1.0032717101537969e-07	0.0001265311317161233	2.029394350788749e-05	0.001406608319841407	2.093849143403048e-06	0.0019658744369879244	1.1398918253746615e-08	1.1763096274819418e-08	4.2436620883989917e-10	6.826334827403358e-07	1.2881358557592648e-07	4.910174877803541e-07	0.0020515921727820574	0.02116483533581781
REACTOME_VOLTAGE_GATED_POTASSIUM_CHANNELS	0.08023775746783879	2.7709961073818512e-05	3.619522097053629e-05	5.237526328971676e-06	0.00035478752207529496	0.09256024469922775	0.0025897684091960027	0.08946054457982056	1	0.04672518059579922	0.00040370732517958086	0.0002544133621456002	0.002865820131759067	0.006177245986848767	1	1	1	1	0.0010018784087100219	0.0019692951593197616	0.02638290066398552	0.019919420817497424	0.00014640073277660814	0.004809479603030242	0.0022795068178804723	0.016426972557624264	0.001676029327052908
WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL	5.847605765163522e-07	0.00028875782992743293	0.007190700879458389	1.0517925940201067e-06	1.2143664962493972e-08	0.009626364770648155	0.00015590943641541344	2.403431682995727e-05	2.966463555242882e-06	2.6323774178660386e-05	0.0012637129955552773	1	4.632386184943993e-05	4.249101462239224e-06	6.318291660345476e-05	0.018330806961294632	0.024058156606031167	5.6350144319372575e-05	0.005047010153932607	1.8818927796093732e-05	2.656400582612406e-06	8.35735547697336e-05	1.177626708315227e-05	0.00015765346859974994	1.6474448902847882e-06	0.042055277079005915	6.058456368085441e-05
WP_NICOTINE_ACTIVITY_ON_DOPAMINERGIC_NEURONS	0.012583646135533644	0.03446366413520152	0.003421778514640428	0.0003721605555133678	0.003802859224663946	0.0018765817932304696	0.010910635126423984	0.0015683035685519764	0.01751830110567254	3.5734089152694715e-05	1	0.002598236602580628	0.011625373203350886	9.197799077931279e-07	0.0031315992907975376	0.03311089125100031	0.0011969521229209246	0.0007263589230964707	0.01974411035964274	0.009194113881143995	1	0.09098878110757824	6.4363529374000805e-06	1	0.003969037118033203	1	1
