	ASCL1	CCDC17	DPF3	ETV1	FEV	GATA2	HMBOX1	LMX1A	MAFA	MAFB	NEUROD1	NEUROG3	NHLH1	NR4A3	ONECUT1	PAX6	PBX3	POU2F2	RFX6	SIX2	SMAD9	SPIB	TFCP2L1
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	0	0	0	3	0	0	0	2	2	2	4	2	2	0	2	0	0	0	6	2	0	2	2
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	4	5	5	10	8	7	0	0	8	9	0	7	0	8	0	9	0	0	0	8	7	7	7
KEGG_TYPE_II_DIABETES_MELLITUS	4	0	0	6	3	7	2	7	0	6	5	4	0	4	3	3	3	2	4	6	6	4	2
REACTOME_CARDIAC_CONDUCTION	6	0	0	12	8	7	3	5	12	15	7	13	7	9	7	9	5	3	10	6	11	10	9
REACTOME_GABA_B_RECEPTOR_ACTIVATION	4	0	0	4	5	4	5	5	7	6	0	4	0	5	2	6	4	3	3	0	5	7	5
REACTOME_GABA_RECEPTOR_ACTIVATION	4	0	0	6	6	5	5	7	7	7	0	5	0	5	3	6	5	3	3	4	6	7	5
REACTOME_G_ALPHA_I_SIGNALLING_EVENTS	5	0	0	14	12	8	0	11	12	12	8	13	0	19	0	9	8	0	10	10	9	0	17
REACTOME_G_ALPHA_Q_SIGNALLING_EVENTS	0	6	2	10	6	10	0	11	8	10	0	6	0	8	5	5	7	0	7	9	5	7	0
REACTOME_INCRETIN_SYNTHESIS_SECRETION_AND_INACTIVATION	0	0	0	4	2	3	0	6	0	0	0	2	0	0	0	2	2	0	2	0	0	3	0
REACTOME_INSULIN_PROCESSING	0	0	0	5	2	5	0	7	0	4	2	3	0	2	0	3	0	0	0	2	3	3	0
REACTOME_INTEGRATION_OF_ENERGY_METABOLISM	5	2	0	7	12	11	7	13	11	13	5	7	0	10	9	6	6	2	9	9	9	9	7
REACTOME_INWARDLY_RECTIFYING_K_CHANNELS	5	0	0	5	3	2	2	4	5	6	2	4	0	2	0	6	3	2	4	0	6	6	3
REACTOME_MUSCLE_CONTRACTION	6	0	0	13	8	8	3	6	14	17	8	13	7	10	7	9	6	3	10	7	12	11	9
REACTOME_NEURONAL_SYSTEM	20	3	3	31	23	21	14	32	31	32	15	21	9	27	16	20	17	9	28	22	27	21	22
REACTOME_NEUROTRANSMITTER_RECEPTORS_AND_POSTSYNAPTIC_SIGNAL_TRANSMISSION	10	3	3	14	12	9	8	15	16	10	4	9	0	13	6	10	8	4	14	11	15	11	14
REACTOME_PEPTIDE_HORMONE_METABOLISM	0	2	0	9	5	11	0	15	4	7	3	5	0	4	3	5	3	0	0	4	4	6	3
REACTOME_PHASE_0_RAPID_DEPOLARISATION	2	0	0	6	2	2	2	3	3	4	0	7	3	4	4	4	0	2	4	0	4	4	4
REACTOME_PHASE_2_PLATEAU_PHASE	0	0	0	2	2	2	0	2	4	4	0	4	0	2	5	2	0	0	2	2	2	3	3
REACTOME_POTASSIUM_CHANNELS	11	0	0	15	8	8	5	10	14	19	9	10	6	8	5	11	7	6	11	5	12	9	8
REACTOME_PRESYNAPTIC_DEPOLARIZATION_AND_CALCIUM_CHANNEL_OPENING	0	0	0	4	0	2	0	4	2	4	0	2	0	3	4	0	2	0	4	4	3	3	2
REACTOME_REGULATION_OF_GENE_EXPRESSION_IN_ENDOCRINE_COMMITTED_NEUROG3_PROGENITOR_CELLS	0	0	0	0	0	0	0	0	2	0	4	2	2	0	0	0	0	0	4	0	0	0	0
REACTOME_REGULATION_OF_INSULIN_SECRETION	5	0	0	7	10	9	5	12	9	11	4	7	0	8	7	6	6	0	9	8	9	8	6
REACTOME_SYNTHESIS_SECRETION_AND_INACTIVATION_OF_GLUCOSE_DEPENDENT_INSULINOTROPIC_POLYPEPTIDE_GIP_	0	0	0	4	2	3	0	6	0	0	0	2	0	0	0	2	2	0	2	0	0	3	0
REACTOME_TRANSMISSION_ACROSS_CHEMICAL_SYNAPSES	11	3	3	19	16	13	11	23	20	17	6	13	0	20	11	13	12	5	19	17	19	17	17
WP_CALCIUM_REGULATION_IN_THE_CARDIAC_CELL	6	0	0	13	9	7	6	13	11	11	4	10	0	15	7	5	8	4	9	10	10	10	11
WP_DOPAMINERGIC_NEUROGENESIS	0	0	0	2	3	0	0	3	2	2	3	4	3	2	2	3	3	0	6	0	3	2	2
WP_SPLICING_FACTOR_NOVA_REGULATED_SYNAPTIC_PROTEINS	4	0	0	3	0	4	0	0	0	3	0	7	2	0	2	6	2	0	3	3	3	2	2
WP_SUDDEN_INFANT_DEATH_SYNDROME_SIDS_SUSCEPTIBILITY_PATHWAYS	5	2	0	12	10	10	4	9	8	13	8	11	4	8	4	10	4	3	14	8	6	6	8
WP_SYNAPTIC_VESICLE_PATHWAY	0	0	0	5	5	5	2	7	5	8	0	6	2	7	4	5	5	0	3	4	3	4	5
