	ARNT2	ARX	ASCL1	ASCL2	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEY1	HIC1	HLF	HMBOX1	ISL1	LMX1A	LMX1B	MAFA	MAFB	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
BIOCARTA_BOTULIN_PATHWAY	1	0.00012862491584719749	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.001515589708739773	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_CARDIACEGF_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.020845205441060388	1	1	1	1	1	1	1	1	1	1	1
BIOCARTA_NFAT_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.02040790018749372	1
KEGG_ACUTE_MYELOID_LEUKEMIA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.01749365091182664	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06505398498899084	0.023696786981431295	0.008210769088677128	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_ALZHEIMERS_DISEASE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.01889418536431875	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1	1	1	1	1	1	1	0.005001606719261642	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.02738327581605393	1	1	1	1	1	1	1	1	1	0.01914065324401626	1	1	0.0008496559710873264
KEGG_AXON_GUIDANCE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0770866500356363	1	1	1	1	1	1	1	1	1	1	0.00046546764483734737	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_CALCIUM_SIGNALING_PATHWAY	1	0.02677895726345425	0.09694860076480172	1	1	1	1	0.006407156590994001	0.03623491022728831	1	1	1	1	1	0.029308016088991917	1	1	0.08056812339476294	1	0.024793854140901073	0.025350265454774368	1	1	1	1	1	1	1	2.676822846137128e-05	1	0.06150190783857101	1	1	1	1	1	1	1	1	1	1	0.0004456368082805806	1	1	0.0727391502301824	1	1	0.0072467858339926305	1
KEGG_CARDIAC_MUSCLE_CONTRACTION	1	1	1	1	1	1	1	0.0063031990763379175	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.030895985854353825	1	1	1	1	1	1	1	1	1	1	1	1	0.0009677228462525722
KEGG_CELL_ADHESION_MOLECULES_CAMS	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08124069776658038	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07828341768913205	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_CHEMOKINE_SIGNALING_PATHWAY	1	1	1	1	1	1	1	1	1	1	0.014589985534192995	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.05666540828750066	1	1	1	1	1	1	1	1	0.0885554174880846	1	1	1	1	1	1	1	1	1	1	1
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0027068467367131754	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
KEGG_DILATED_CARDIOMYOPATHY	1	1	1	1	1	1	1	0.009915266962536085	1	1	0.0018606075751692597	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.014450195532340615	1	1	1	1	1	1	0.003766387151561079	1	1	1	1	1	0.08858696820943157	1	1	1	0.027578006899316887	1	1	0.0012537509778240974
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03037918099167025	1	1	1	1	1	1	1	1	1	1
KEGG_ECM_RECEPTOR_INTERACTION	1	0.037379409245148376	1	1	1	1	0.01453848557551829	0.04364501092958073	1	1	1	1	1	1	1	1	1	1	1	0.09597095257530286	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03457745290648673	1	0.020983120766916552	1	1	1	1	1	1	1	1	1	1	1
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.053318574934964946	1	1	1	1	1	1	1	1	1	1	1
