	ARNT2	ARX	ASCL1	ASCL2	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEY1	HIC1	HLF	HMBOX1	ISL1	LMX1A	LMX1B	MAFA	MAFB	NEUROD2	NEUROG3	NFAT5	NHLH1	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	RFX6	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF382	ZNF492	ZNF519	ZNF846	ZNF883
BIOCARTA_BOTULIN_PATHWAY		SNAP25 STX1A																																				SNAP25 STX1A											
BIOCARTA_CARDIACEGF_PATHWAY																																						ADAM12 AGT											
BIOCARTA_NFAT_PATHWAY																																																AGT CAMK1	
KEGG_ACUTE_MYELOID_LEUKEMIA																					AKT3 RUNX1T1																												
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY																				ACSL6 CPT1C	AKT3 NPY	CPT1C MAPK10																											
KEGG_ALZHEIMERS_DISEASE																										CDK5R1 GRIN1																							
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC								CACNA1C CACNA2D2 CACNB2 SLC8A1																												CACNA2D1 CACNG4										SGCD SLC8A1			CACNA1C CACNA2D2
KEGG_AXON_GUIDANCE																					ABLIM2 EFNB3											ABLIM2 EPHA4 PAK6																	
KEGG_CALCIUM_SIGNALING_PATHWAY		CAMK2B PRKCG SLC8A1	ADCY1 CACNA1G					AVPR1B CACNA1C CACNA1E CYSLTR2 PRKCG SLC8A1	ADCY1 CACNA1E CACNA1G						ADCY1 PRKCG			CACNA1C CACNA1E		ADCY2 CACNA1G ITPR1 P2RX6	CACNA1C CACNA1E CACNA1G								ADCY1 CACNA1E CACNA1G CACNA1H ITPR1		ADORA2A CACNA1G											ADCY2 ADORA2A AVPR1B CACNA1C CACNA1G P2RX6			CACNA1B GRIN2C			CAMK2B GRIN1 ITPR1 P2RX6	
KEGG_CARDIAC_MUSCLE_CONTRACTION								CACNA1C CACNA2D2 CACNB2 SLC8A1																												CACNA2D1 CACNG4													CACNA1C CACNA2D2
KEGG_CELL_ADHESION_MOLECULES_CAMS																					CADM3 NEGR1															NEGR1 NFASC													
KEGG_CHEMOKINE_SIGNALING_PATHWAY											ADCY1 ADCY5 SHC3																		ADCY1 GNG4									ADCY2 AKT3 GNG2 GNG4 SHC3											
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES																			C7 F10																														
KEGG_DILATED_CARDIOMYOPATHY								CACNA1C CACNA2D2 CACNB2 SLC8A1			ADCY1 ADCY5 SGCD																		ADCY1 CACNA2D2							ADCY1 CACNA2D1 CACNG4						ADCY2 CACNA1C				SGCD SLC8A1			CACNA1C CACNA2D2
KEGG_DRUG_METABOLISM_CYTOCHROME_P450																																							ADH6 GSTM2										
KEGG_ECM_RECEPTOR_INTERACTION		SPP1 SV2B					SPP1 SV2B	COL1A2 SV2A SV2B												COL1A2 SV2B																SPP1 SV2B		COL1A2 SPP1 SV2A SV2B											
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION																																						ATP6V1G2 JAM3 MAPK10											
KEGG_ERBB_SIGNALING_PATHWAY		AKT3 CAMK2B PAK6 PRKCG																																	PAK6 SHC3			AKT3 MAPK10 PAK6 SHC3											
KEGG_FATTY_ACID_METABOLISM																				ACSL6 ADH6 CPT1C		ADH6 CPT1C																											
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS		AKT3 PRKCG																																		AKT3 AMPH													
KEGG_FOCAL_ADHESION		AKT3 PAK6 PRKCG SPP1					PDGFD SPP1																												PAK6 SHC3			AKT3 COL1A2 MAPK10 PAK6 PDGFD SHC3 SPP1											
KEGG_GAP_JUNCTION		PRKCG TUBB2B	ADCY1 PDGFD						ADCY1 PDGFD		ADCY1 ADCY5 TUBB4A				ADCY1 PRKCG										ADCY1 TUBB2B				ADCY1 ITPR1 TUBB2B										PDGFD TUBB2B										
KEGG_GLIOMA		AKT3 CAMK2B PRKCG																																															
KEGG_GNRH_SIGNALING_PATHWAY											ADCY1 ADCY5							CACNA1C MMP2											ADCY1 ITPR1							ADCY1 MMP2						ADCY2 CACNA1C MMP2						CAMK2B ITPR1	
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM								CACNA1C CACNA2D2 CACNB2 SLC8A1																												CACNA2D1 CACNG4										SGCD SLC8A1			CACNA1C CACNA2D2
KEGG_INSULIN_SIGNALING_PATHWAY																																														GCK SHC3			
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION																																				MMP2 RAPGEF4						CXCL12 JAM3 MMP2							
KEGG_LONG_TERM_POTENTIATION		CAMK2B PRKCG													ADCY1 PRKCG														ADCY1 ITPR1																			CAMK2B GRIN1 ITPR1	
KEGG_MAPK_SIGNALING_PATHWAY	MAP3K12 PRKCG							CACNA1C CACNA1E CACNA2D2 CACNB2 FGF17 PRKCG	CACNA1E CACNA1G FGF17 HSPA6				MAP3K12 PRKCG								AKT3 CACNA1C CACNA1E CACNA1G HSPA6 NTRK2								CACNA1E CACNA1G CACNA1H CACNA2D2 HSPA6							AKT3 CACNA2D1 CACNG4						CACNA1C CACNA1G HSPA6 NTRK2			CACNA1B MAPK10 MAPK8IP2				CACNA1C CACNA2D2
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG								ONECUT1 PAX6																																		NEUROD1 NEUROG3							
KEGG_MELANOGENESIS		CAMK2B FZD4 PRKCG	ADCY1 FZD4	ADCY5 FZD4							ADCY1 ADCY5				ADCY1 PRKCG																																		
KEGG_MELANOMA							FGF14 PDGFD		FGF17 PDGFD												AKT3 PDGFD																	AKT3 FGF14 FGF17 PDGFD											
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450																																							ADH6 GSTM2										
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	CHRNB2 SSTR3								BRS3 CHRNA5 CSH1 GABBR2 GABRB3 GABRG2		CHRNA3 CHRNA5 CHRNB2	GABRA1 P2RX6					ADORA2A CHRNA5 SSTR1									GABBR2 GRIN1 SSTR1																ADORA2A AVPR1B CSH1 GABRA1 P2RX6					CHRM4 GRIK5 SSTR3		
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY		AKT3 CAMK2B																			AKT3 NTRK2	MAPK10 TP73																											
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY																																													MAPK10 NAIP				
KEGG_NON_SMALL_CELL_LUNG_CANCER		AKT3 PRKCG																																															
KEGG_NOTCH_SIGNALING_PATHWAY																						DLL1 DTX1																											
KEGG_OOCYTE_MEIOSIS											ADCY1 ADCY5																		ADCY1 ITPR1																			CAMK2B ITPR1	
KEGG_PPAR_SIGNALING_PATHWAY																				ACSL6 CPT1C																													
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION											ADCY1 ADCY5																									ADCY1 AKT3		ADCY2 AKT3 MAPK10											
KEGG_PROSTATE_CANCER																					AKT3 PDGFD																												
KEGG_PURINE_METABOLISM											ADCY1 ADCY5																																						
KEGG_PYRIMIDINE_METABOLISM																																					CTPS1 ENTPD1												
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON							FGF14 PDGFD															FGF17 INSRR										INSRR PAK6																	
KEGG_RENAL_CELL_CARCINOMA		AKT3 PAK6																																															
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT		SNAP25 STX1A																													SNAP25 STX2							SNAP25 STX1A STX2											
KEGG_TGF_BETA_SIGNALING_PATHWAY					ID4 LEFTY1																															ID4 LEFTY1													
KEGG_TIGHT_JUNCTION		AKT3 PRKCG																																															
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY		AKT3 SPP1																																		AKT3 SPP1													
KEGG_TRYPTOPHAN_METABOLISM																											AADAT DDC															AADAT DDC							
KEGG_TYPE_II_DIABETES_MELLITUS					CACNA1C KCNJ11			CACNA1C CACNA1E	CACNA1E CACNA1G									CACNA1C CACNA1E			CACNA1C CACNA1E CACNA1G								CACNA1E CACNA1G									ABCC8 CACNA1A CACNA1C MAPK10				CACNA1C CACNA1G			CACNA1B MAPK10				
KEGG_TYPE_I_DIABETES_MELLITUS								CPE PTPRN																																		CPE PTPRN				CPE PTPRN2			
KEGG_TYROSINE_METABOLISM																																	ADH6 DDC																
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY		AKT3 PAK6																																															
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION			ADCY1 KCNMB2					AVPR1B CACNA1C PRKCG			ADCY1 ADCY5				ADCY1 PRKCG														ADCY1 ITPR1									ADCY2 CACNA1C KCNMA1 KCNMB2				ADCY2 ADORA2A AVPR1B CACNA1C							
KEGG_VEGF_SIGNALING_PATHWAY		AKT3 PRKCG																																															
KEGG_VIBRIO_CHOLERAE_INFECTION								ATP6V1G2 PRKCG																																									
KEGG_WNT_SIGNALING_PATHWAY	PRICKLE2 PRKCG	CAMK2B FZD4 PRKCG	FZD4 PRICKLE2																			MAPK10 NKD1 SFRP1																	FZD4 NKD1 PRICKLE2										
NABA_COLLAGENS								COL14A1 COL1A2									COL12A1 COL1A2			COL12A1 COL14A1 COL1A2																COL12A1 COL22A1													
NABA_CORE_MATRISOME								COL14A1 COL1A2 IGSF10 LGI3 MMRN1 SNED1 SPOCK3 USH2A												COL12A1 COL14A1 COL1A2 IGSF10 SMOC1																COL12A1 COL22A1 SPON2 SPP1		BGN COL14A1 COL1A2 IGSF10 LGI3 MMRN1 PODN SMOC1 SPP1 USH2A VCAN						PODN USH2A					
NABA_ECM_AFFILIATED			ELFN1 GPC2																																														
NABA_ECM_GLYCOPROTEINS					LGI3 SNED1 VWA5B2			IGSF10 LGI3 MMRN1 SNED1 USH2A				MMRN1 SPON2																										IGSF10 LGI3 MMRN1 SMOC1 SPP1 USH2A											
NABA_ECM_REGULATORS																		ADAMTSL2 AGT MMP2 SERPINA10		ADAMTSL1 F10 MEP1B MMP13 PAPPA2 SERPINA10								CELA3A MMP13								ADAM12 MMP2 SERPINA10		ADAM12 ADAMTSL1 AGT MEP1B PAPPA2 SERPINA10		ADAMTS2 MEP1B		ADAMTSL2 AGT F10 MMP2							
NABA_MATRISOME		C1QL1 CFC1B F10 LEFTY1 MMP13 S100A1 SPP1	ELFN1 GPC2 LEFTY1 PDGFD SCUBE1 SCUBE3			ADAMTSL2 CFC1 GPC2 SNED1	ADAM12 CFC1 CFC1B COL12A1 FGF14 GPC6 PDGFD SPP1	ADAMTSL2 AGT CFC1B COL14A1 COL1A2 F10 FGF17 GPC2 IGSF10 LGI3 MMP13 MMRN1 PLXNC1 SCUBE3 SFRP1 SNED1 SPOCK3 USH2A	ADAMTSL2 COL14A1 CSH1 FGF17 IGSF10 LEFTY1 MMP13 PDGFD									ADAMTSL2 AGT INS-IGF2 MMP2 SERPINA10 SPOCK3 VWA5B2		ADAMTSL1 CFC1 CFC1B COL12A1 COL14A1 COL1A2 F10 GPC2 IGSF10 LEFTY1 MEP1B MMP13 PAPPA2 S100A1 SCUBE3 SERPINA10 SMOC1								CELA3A FBN1 GPC6 MMP13								ADAM12 COL12A1 COL22A1 GPC2 LEFTY1 MMP2 SCUBE3 SERPINA10 SPON2 SPP1		ADAM12 ADAMTSL1 AGT BGN CFC1 CFC1B COL14A1 COL1A2 FGF14 FGF17 GPC6 IGSF10 LGI3 MEP1B MMRN1 PAPPA2 PDGFD PODN S100A1 SERPINA10 SMOC1 SPP1 USH2A VCAN		ADAMTS2 COL22A1 LEFTY1 MEP1B		ADAMTSL2 AGT BGN C1QL1 CSH1 CXCL12 F10 GPC2 INS-IGF2 MMP2 SNED1 SPOCK3		GPC6 PDGFD PODN S100A1 USH2A			C1QL1 COL22A1 INS-IGF2 LGI3 MMP2	AGT CFC1 CFC1B FGF14 S100A1 SCUBE1 SCUBE3 SERPINA10 SPON2	
NABA_MATRISOME_ASSOCIATED		C1QL1 CFC1B F10 LEFTY1 MMP13 S100A1	ELFN1 GPC2 LEFTY1 PDGFD SCUBE1 SCUBE3	ELFN1 LEFTY1 SCUBE3		ADAMTSL2 CFC1 GPC2	ADAM12 CFC1 CFC1B FGF14 GPC6 PDGFD		ADAMTSL2 CSH1 FGF17 LEFTY1 MMP13 PDGFD									ADAMTSL2 AGT INS-IGF2 MMP2 SERPINA10		ADAMTSL1 CFC1 CFC1B F10 GPC2 LEFTY1 MEP1B MMP13 PAPPA2 S100A1 SCUBE3 SERPINA10								CELA3A GPC6 MMP13								ADAM12 GPC2 LEFTY1 MMP2 SCUBE3 SERPINA10				ADAMTS2 LEFTY1 MEP1B		ADAMTSL2 AGT C1QL1 CSH1 CXCL12 F10 GPC2 INS-IGF2 MMP2		GPC6 PDGFD S100A1				AGT CFC1 CFC1B FGF14 S100A1 SCUBE1 SCUBE3 SERPINA10	
NABA_PROTEOGLYCANS											SPOCK3 VCAN																											BGN PODN VCAN				BGN SPOCK3							
NABA_SECRETED_FACTORS			LEFTY1 PDGFD SCUBE1 SCUBE3	LEFTY1 SCUBE3			CFC1 CFC1B FGF14 PDGFD		CSH1 FGF17 LEFTY1 PDGFD											CFC1 CFC1B LEFTY1 S100A1 SCUBE3																								PDGFD S100A1				CFC1 CFC1B FGF14 S100A1 SCUBE1 SCUBE3	
PID_AJDISS_2PATHWAY								GFRA1 RET																																									
PID_AMB2_NEUTROPHILS_PATHWAY																																										JAM3 MMP2							
PID_ANGIOPOIETIN_RECEPTOR_PATHWAY																														GRB14 MMP2																			
PID_AP1_PATHWAY																																						AGT COL1A2 NTS											
PID_AR_NONGENOMIC_PATHWAY																																						GNAO1 GNG2											
PID_AVB3_INTEGRIN_PATHWAY							COL12A1 SPP1										COL12A1 COL1A2			COL12A1 COL14A1 COL1A2																COL12A1 SPP1		COL14A1 COL1A2 SPP1											
PID_AVB3_OPN_PATHWAY																																				MMP2 SPP1													
PID_BETA_CATENIN_NUC_PATHWAY																																										CACNA1G MMP2							
PID_E2F_PATHWAY																																												CES1 TP73	CES1 HIC1				
PID_ENDOTHELIN_PATHWAY								COL1A2 CYSLTR2 PRKCG			ADCY1 ADCY5				ADCY1 PRKCG					ADCY2 COL1A2					ADCY1 COL1A2													ADCY2 COL1A2 GNAO1											
PID_ER_NONGENOMIC_PATHWAY																		GNAO1 MMP2																				GNAO1 GNG2											
