chr	start	end
chr1	9998	10460
chr1	28961	30053
chr1	28961	30053
chr1	28961	30053
chr1	326897	327130
chr1	389041	389596
chr1	565046	565255
chr1	566099	566732
chr1	566099	566732
chr1	567273	567672
chr1	567273	567672
chr1	601142	601621
chr1	713780	714631
chr1	762140	763376
chr1	780947	781283
chr1	805066	805486
chr1	839717	840581
chr1	856362	856700
chr1	859001	859878
chr1	859001	859878
chr1	860301	861114
chr1	860301	861114
chr1	875709	876599
chr1	875709	876599
chr1	877102	877796
chr1	877102	877796
chr1	894369	894810
chr1	895965	896396
chr1	901554	902625
chr1	911355	911899
chr1	919663	919927
chr1	934220	934832
chr1	934220	934832
chr1	935052	936289
chr1	935052	936289
chr1	937138	937420
chr1	940507	941028
chr1	941823	942177
chr1	948360	949174
chr1	954760	956129
chr1	954760	956129
chr1	954760	956129
chr1	960081	960386
chr1	967877	968948
chr1	967877	968948
chr1	969251	969521
chr1	975756	976299
chr1	994551	995124
chr1	994551	995124
chr1	999305	999724
chr1	1003986	1004948
chr1	1003986	1004948
chr1	1014834	1016076
chr1	1014834	1016076
chr1	1014834	1016076
chr1	1051233	1052145
chr1	1060214	1060784
chr1	1060214	1060784
chr1	1072361	1072586
chr1	1092882	1093790
chr1	1092882	1093790
chr1	1109166	1109597
chr1	1111609	1111997
chr1	1136350	1137236
chr1	1136350	1137236
chr1	1141791	1142089
chr1	1166890	1167854
chr1	1182072	1182604
chr1	1208800	1209887
chr1	1208800	1209887
chr1	1227016	1227553
chr1	1243025	1244465
chr1	1243025	1244465
chr1	1259832	1260603
chr1	1284537	1285359
chr1	1284537	1285359
chr1	1289175	1289734
chr1	1289175	1289734
chr1	1295910	1296156
chr1	1310504	1310979
chr1	1334360	1335363
chr1	1342249	1343187
chr1	1342249	1343187
chr1	1350286	1351263
chr1	1368620	1368979
chr1	1370804	1371296
chr1	1406833	1407418
chr1	1440416	1441078
chr1	1440416	1441078
chr1	1446884	1448126
chr1	1475633	1476466
chr1	1475633	1476466
chr1	1509658	1510586
chr1	1550582	1551656
chr1	1590255	1590916
chr1	1623745	1625006
chr1	1623745	1625006
chr1	1623745	1625006
chr1	1655505	1656353
chr1	1655505	1656353
chr1	1677168	1678328
chr1	1709424	1710698
chr1	1709424	1710698
chr1	1709424	1710698
chr1	1778356	1778810
chr1	1790204	1790843
chr1	1821864	1823278
chr1	1821864	1823278
chr1	1821864	1823278
chr1	1821864	1823278
chr1	1840199	1840933
chr1	1850224	1851273
chr1	1875546	1875903
chr1	1891389	1891773
chr1	1934935	1935553
chr1	1950785	1951233
chr1	1981021	1982184
chr1	1981021	1982184
chr1	2029580	2029786
chr1	2047173	2047414
chr1	2057159	2057373
chr1	2064517	2065255
chr1	2064517	2065255
chr1	2105854	2106185
chr1	2120908	2121379
chr1	2125946	2126884
chr1	2130641	2131014
chr1	2136008	2136363
chr1	2136701	2137302
chr1	2143984	2144664
chr1	2158472	2159481
chr1	2203508	2203852
chr1	2207473	2207736
chr1	2242962	2243382
chr1	2245866	2246793
chr1	2245866	2246793
chr1	2245866	2246793
chr1	2267850	2268053
chr1	2313157	2313418
