	ARNT2	ARX	ASCL1	ASCL2	E2F7	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	HES4	HEY1	HIC1	HLF	HMBOX1	INSM1	ISL1	LMX1A	LMX1B	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	TFCP2L1	TP73	ZNF382	ZNF492	ZNF519	ZNF846
GO_ACTION_POTENTIAL	0.024596593827529434	0.031653810528313064	0.00044295730982291115	0.002882584919133735	1	8.139162199771732e-08	6.2293451194017635e-06	0.0071105168930599705	0.001125852177236153	1	0.07076804735561149	1	1	1	1	0.019115505892054574	1	0.05509266330280693	0.008964362609916066	1	8.504180489354862e-05	9.695730731373864e-05	0.05165522078672047	0.018246592400687822	0.0008352892058782757	0.0006704190313666647	0.009425999101634441	0.004624962515630604	0.002954533843785523	9.967432671753595e-05	0.07677370879752954	0.00025523971420005065	1	0.005817818671979724	0.011141630528706203	1	0.0068224891535315635	1	0.00041154261387299496	9.748445770085823e-05	9.37183375163686e-05	0.00040078648954644525	1	1	0.00013359778394872457	0.05509266330280693	0.010722448043035016
GO_ADENYL_NUCLEOTIDE_BINDING	0.009114729547258449	0.08683852977708761	0.000495186500133693	0.0001740953910698284	0.007486768595458604	0.010620091134963427	0.052884750526854374	0.0023835608332696268	0.0059769147739373585	0.0017885416077596528	2.3290413410315125e-05	0.008652372718109591	1	0.020802876480186416	0.00560870618013376	5.719599782172402e-05	1	1	0.06458410858464658	0.0007428999644966128	0.06230682480518601	0.008331496250833736	1	0.031215360797235414	0.015849623979369398	0.0007141707349830329	1	1	1.4595239702819285e-05	0.05260859672237006	0.05018239825013637	0.01760741676697275	0.00010094962420159614	1	0.0032327731011650984	1	1	0.0002868493975030084	4.1714398324455004e-07	0.006016864922679499	0.05573489052480585	0.009763113189138362	0.05817888644991831	1	0.02743348700930459	1	6.886461031840874e-05
GO_ADULT_BEHAVIOR	0.00039037776372052857	0.008187946536800217	0.0028839344460880323	0.0004096947947359597	5.5987462374895713e-05	1.944931551522977e-05	0.0001617373735924854	4.8867300336929986e-05	0.00012837291046785548	1	0.0009296264881134553	0.0063483333744082104	1	1	1	0.01866521992142145	0.025602517777257194	0.05413193793379667	0.0019999399410470797	0.04735622316627863	0.000398082477284345	0.0004466805714642419	0.00047100948883160854	0.0032666136033155935	0.036238127981340185	3.209314588747958e-06	0.04880255245591225	0.04402770040731285	4.140654848994174e-07	0.0006904351273483433	0.0030709711195949785	9.356072239175006e-08	0.00011427554820853114	0.05099091063003125	0.0026063139709471272	1	1	0.0005933113042898563	6.943867040354323e-05	1.8553816299671233e-05	8.861331230125558e-05	7.585510948449059e-05	0.02003293233450587	0.09735274272356076	1	0.01063338162266314	0.0020974719320421276
GO_AXON	1.04814405887943e-06	0.0	2.92062573126195e-06	1.1331378198753406e-05	0.0	0.0	0.0	7.709166638392162e-12	6.944782740780919e-05	5.722049485790137e-06	0.0	5.764674712738227e-05	1	3.8896566600943316e-07	0.0007728043513037797	8.170397431217502e-05	0.0009566383884305196	4.930423296301001e-07	0.0	9.047803617434624e-10	0.0	0.0	0.0002631339167993296	9.895939356852068e-07	0.00014940659340245688	0.0	0.00012093303317439741	0.07092698171148448	0.0	3.908484448844618e-05	7.98738728158277e-07	5.9171209709774075e-08	2.312349201005759e-10	7.384519322695127e-07	0.0	1	1.0110286610687247e-05	0.0	0.0	0.0	7.772071874967423e-11	0.0	0.0014848102875030245	0.0007728043513037797	3.338137178232614e-06	2.770293661136236e-09	2.8076564406731563e-09
GO_AXON_DEVELOPMENT	0.002702817483867026	1.8784773736513216e-10	0.004392006505096413	0.00035565961814165714	1.578190020445902e-05	0.0	0.0	6.578882388863505e-07	0.0031415920723792956	7.681985983887252e-06	3.518155289317093e-08	1	0.01663485396150255	0.002826907851997462	0.016098700972488	1.9008854863500346e-06	0.002531341531330722	0.00047722327659105446	2.454464509415999e-08	7.310622058831484e-07	1.1736796756700585e-08	8.178773638345405e-06	0.0026493847728293884	0.0004954439206484862	0.06232075415735794	2.8022373310676585e-10	0.01411991785758615	0.0397749062186894	2.2283108691567577e-10	0.008245296023192905	2.764004495325878e-05	2.144197745468368e-05	1.1199542307993582e-06	0.0026493847728293884	1.1293047024740765e-05	1	0.0035458419116395357	1.9253877159286503e-08	5.193776075884671e-09	0.0	2.778854776830375e-05	1.4368769207795395e-07	0.024065142465442557	0.0009501620866568805	0.010443187851353453	0.00047722327659105446	0.0018713502531366721
GO_BEHAVIOR	0.001638245880998812	1.0604282188686476e-05	0.010831713952494604	0.026866231080576952	1.7573345398869122e-06	3.319689643721535e-05	3.987556977946838e-07	0.000178907597020328	0.0006403571530346763	0.004286788561384869	1.813329175526235e-05	0.00023177196311241488	0.02366752506977965	0.021216020975216576	0.08328055124713285	0.005277404179462208	0.004492111879506933	0.001421930851547848	1.1403942210552742e-06	0.0029372620366492352	2.1957276548079108e-06	8.69739308351214e-08	2.6429928463800323e-05	0.0047462283646085845	0.0003621225846048848	3.915725081293786e-06	1	0.05963620061390851	5.2376755155236765e-09	0.00026138730073144156	2.995109421988218e-05	7.390565592846343e-08	9.40297760663178e-05	0.07591090543748602	0.00022465147216299552	0.0425636949385485	0.006763623864173951	3.216254538918051e-06	7.775534627274538e-08	1.7162288556971106e-07	1.9847990104904234e-05	5.290037208283138e-08	0.013724151417922048	0.008558177751127105	1	0.00010378285273859866	1.6148714089281313e-06
GO_BIOLOGICAL_ADHESION	0.01520406268822827	2.5444378851324778e-05	0.000679330909819198	0.00024100203746868498	8.450885280208986e-05	7.103942834985055e-06	0.00024185634406348466	1.728903291198236e-06	0.0006048016622872687	2.5850938182414573e-05	0.00012418221800936102	0.048034919205932614	0.0030838925182863353	0.08084252702246564	8.978011863614022e-06	2.7691616074521086e-05	0.004304555563587775	1	6.0794244387540886e-06	0.0006500049171650479	1.2718521246180003e-06	8.728794343992874e-07	1	0.0010106670281518904	0.004736215391168308	4.2083385032309906e-07	0.0067500141750952425	0.06600120693972922	0.00013086090809710793	6.590175738452331e-09	0.0003350030815933991	3.3715899280362116e-05	0.00010410984592834627	0.014675695021559965	0.00020119346077995814	0.010125246050609826	1	1.5495990157710082e-08	3.3752657024876953e-07	2.1473820168704805e-06	5.063699367591212e-06	2.447625291557287e-06	0.0032753814912850343	0.003907621597448063	0.003895546512309056	0.021334813108884187	0.008004532007783949
GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	0.01612932678843848	1	0.003449450523090314	0.03646805424922961	0.000771990566715286	0.03486633142376816	1	1	1	1	1	1	0.0009002833614193406	1	1	1	1	1	1	1	0.032194854712174203	0.033516510993846116	1	1	0.021746843777099345	0.002866859013053169	1	0.0001565698205066024	1	1	1	0.0931161265651721	1	1	1	2.623695145587135e-07	1	1	1	0.053222645122042	1	6.0892786628907736e-05	1	0.01185978377862229	0.024607873995292184	1	1
GO_CALCIUM_ION_BINDING	7.399199676505486e-05	3.527062226149624e-05	0.004198665379528288	0.001351150670432233	5.3357058957592685e-05	0.007740363819646157	2.2101458379775174e-05	0.006150078934154868	1	0.0002245415696785491	0.0026425761866929465	1.863378919897407e-05	4.302669062816733e-06	0.01278782283370461	0.0014567623108491246	0.07637601762683566	0.008387373125051112	0.03181118561007423	0.00011976387930967558	0.00021434930655350737	0.0011796359906902643	0.0014540920503561816	0.0024062890524041425	0.032755875773263776	0.012315348419294825	5.389374411191028e-07	1	0.0002708888242751728	1	8.629197399967481e-06	1	0.010586083181598926	0.008833241219814214	0.03781242316558309	0.00023549660169674969	0.0018528146328299355	0.013545875682461905	0.0037926845222396866	4.006728139493987e-05	6.212490787360636e-07	0.00046450340461734463	1.0691124124218021e-05	0.02845664069954179	0.0014567623108491246	0.0001712414403864937	0.0014762365479800144	0.018518451575111228
GO_CALCIUM_ION_TRANSMEMBRANE_TRANSPORTER_ACTIVITY	1	0.007377788472412772	1	1	0.009730441009644264	0.00734558981896527	0.00013473307783118393	1	1	1	0.01790552581009086	1	1	0.08327772659399657	0.014873344953319823	1	1	0.009860960221545922	0.0948674850834097	1	0.0003381032917434412	0.0017026163266502525	0.04901700052791158	1	1	0.010802055850626768	1	1	1	9.922540135098856e-07	0.015789415343452462	0.07682281916739053	1	0.005362433210553408	0.009727402268484786	1	0.00629131677777095	0.0024534323926677093	0.029248531402954026	0.017490934528327173	0.002063205255235845	0.006011581727194737	1	0.001763540783751627	0.04048229151310123	0.05129910731874521	0.040325319992137065
