	AEBP1	ARNT2	ARX	ASCL1	ASCL2	ATOH8	CBX2	CCDC17	CSRNP3	CXXC4	DACH1	DPF3	E2F7	EBF3	ETV1	FEV	FOXD4L5	FOXJ1	FOXP2	GATA2	GRHL3	HES4	HES6	HEY1	HEYL	HHEX	HIC1	HLF	HMBOX1	INSM1	ISL1	KCNIP3	LMX1A	LMX1B	LTF	MAFA	MAFB	MYT1	NEUROD1	NEUROD2	NEUROG3	NFAT5	NHLH1	NPAS3	NR4A3	ONECUT1	PAX4	PAX6	PBX3	PLAG1	POU2F2	POU5F1	PROX1	RFX6	SETBP1	SIM1	SIX2	SMAD9	SOX4	SPIB	ST18	TET1	TFCP2L1	TP73	ZFP69B	ZNF117	ZNF382	ZNF492	ZNF514	ZNF519	ZNF788	ZNF846	ZNF853	ZNF883
GO_3_5_CYCLIC_AMP_PHOSPHODIESTERASE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.016438240582919206	0.018216866755921823	1	1	1	1	1	1	1	1	1	1	1	1	0.00338854184079429	1	1	1	1	1	1	1	0.015958448112945334	1	1	1	1	1	1	1	0.011265599409040261	1	1	1	1	1	1	1	1	1	1	1	0.011184117038231967	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_4_IRON_4_SULFUR_CLUSTER_BINDING	1	1	1	0.035402198627323855	0.03492900865471149	1	1	1	1	1	1	1	1	1	1	1	0.0934480679009545	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08946279791219125	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_9PLUS0_NON_MOTILE_CILIUM	1	1	0.031653810528313064	1	1	1	1	1	1	1	1	1	1	1	0.028526300409012828	0.01133722069109555	1	1	0.005619359178495098	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04150621783470654	0.09159941948592099	1	1	1	1	0.0032528208207835974	1	1	1	1	1	1	1	0.05702734407074317	1	1	1	1	1	1	1	1	1	1	0.05509266330280693	1	1	1	1
GO_9PLUS2_MOTILE_CILIUM	1	0.01707383168862131	0.06703728697819622	1	1	1	1	1	1	1	1	1	1	1	0.050982849016598886	1	0.016128295430803852	0.030668162772014007	1	0.0468049309737254	1	1	1	1	0.006132434019793576	1	1	1	1	1	0.039079793902974336	1	0.019541068265311767	0.09391118480225102	1	1	1	1	1	1	1	1	1	1	0.006212903557246796	1	1	1	1	1	1	0.029956425707262313	1	0.07947223145683602	1	1	0.08208869526873652	1	0.09049776215572025	1	1	0.028140922261768564	1	1	1	1	1	0.030668162772014007	0.0013446329190502926	1	1	1	1	1
GO_ACETATE_ESTER_TRANSPORT	1	1	1	1	1	1	1	1	1	1	4.2450257436987826e-05	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0016573551026600741	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_BINDING	1	1	1	1	0.003610389031747374	1	1	1	1	1	1	1	1	1	0.0011663837885893535	1	1	0.002372782837560483	0.004907677986907055	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.018106753265995756	1	1	0.0038764389740456595	1	1	1	1	1	0.0006562028534022879	1	1	0.010139229483551615	1	1	1	1	1	1	1	1	1	1	0.026447586434634074	1	1	1	0.017888555904314374	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_GATED_CATION_SELECTIVE_CHANNEL_ACTIVITY	1	1	1	1	0.005478634381677505	1	1	1	1	1	1	1	1	1	0.0022005657750632235	1	1	0.0036102605800012455	0.00742964564508497	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.026984070592500853	1	1	0.005879332430809292	1	1	1	1	1	0.0012463935910481672	1	1	0.015236872245792954	1	1	1	1	1	1	1	1	1	1	0.039136159093323464	1	1	1	0.026664305219818107	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_GATED_CHANNEL_COMPLEX	1	1	1	1	0.005478634381677505	1	1	1	1	1	1	1	1	1	0.0022005657750632235	1	1	0.0036102605800012455	0.00742964564508497	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.026984070592500853	1	1	0.005879332430809292	1	1	1	1	1	0.0012463935910481672	1	1	0.015236872245792954	1	1	1	1	1	1	1	1	1	1	0.039136159093323464	1	1	1	0.026664305219818107	1	1	1	1	1	1	1	1	1	1	1
GO_ACETYLCHOLINE_RECEPTOR_ACTIVITY	1	1	1	1	0.010261151019333226	1	1	1	1	1	1	1	1	1	0.0004407266159136558	0.0065321017226315226	1	0.006797917794501229	0.013850040934596075	1	1	1	1	1	1	1	1	1	1	1	1	1	0.032156339123752375	0.0390891098674232	1	0.00514871429442032	0.050167701630772776	1	0.01100037921396635	1	1	1	1	1	0.0002071364421278865	1	1	0.002183691455743597	0.022814907530255946	1	1	1	1	1	1	1	0.03580344923633294	1	0.008990606993593442	0.033838778499234445	1	1	0.0050574715409946736	1	1	1	1	0.006797917794501229	1	1	1	1	1	1
GO_ACIDIC_AMINO_ACID_TRANSPORT	1	1	0.012731098075791314	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.04602328176113446	1	1	1	1	1	1	0.02677637267262023	1	0.015535276443179646	1	0.07236176953208329	1	0.06357329765822506	0.003499877951821606	1	1	0.029503198576528056	1	0.09416517977474748	1	0.07499186510931743	1	1	1	0.01632664393194061	1	1	1	0.04047062651953803	1	1	1	1	1	1	1	0.01612312094325863	0.06296468394035903	1	0.06791031054390828	1	1	1	1	1	1	1	0.007607199556867061	1	1	1	1	1	1
GO_ACID_AMINO_ACID_LIGASE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0062026942697663845	0.012658409859387931	0.0230161465827029	1	1	1	1	1	1	1	1	1	1	0.0074702207097456785	1	1	0.03586787112987855	1	0.04479612063640814	0.04609620016679572	1	1	1	1	1	1	1	0.033067934311447944	1	1	0.02564534027530818	1	1	1	1	1	0.03215502189784003	1	1	0.03283874009287824	1	1	0.03102846529305825	1	1	1	1	1	1	1	1	1	1	1	0.017067197832037362	1	1
GO_ACID_SECRETION	1	1	0.017223683273888235	1	1	1	1	1	1	1	1	1	1	1	0.005648764433287434	0.039957514885276435	0.09724549209073885	0.0018413239768260148	1	0.08435799376140807	1	1	1	1	1	1	1	1	1	1	1	1	0.01778492698895362	0.023515731847585486	1	1	1	1	1	1	1	1	0.02717605956254432	1	0.020950504785032464	0.043598047220252734	1	0.0931161265651721	1	1	0.0008991056742346792	0.024190139160435997	1	1	1	1	0.020744136372525923	1	0.053222645122042	0.01913411577100299	1	1	0.03167409508630181	1	1	1	1	1	1	1	1	1	1	1
GO_ACID_THIOL_LIGASE_ACTIVITY	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08913419664477318	0.09772591131620767	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.08446732197606921	1	1	1	1	1	1	1	1	0.06324445681695323	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03342363562988848	1	1
GO_ACROSOMAL_VESICLE	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06133194265665309	0.0833790962620915	1	0.03916723461116556	1	1	1	1	1	1	1	1	1	1	1	0.049040184274010024	1	1	1	1	1	1	1	1	0.07270871345177954	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACROSOME_REACTION	1	0.013390461981194979	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.03257268865311713	1	1	1	1	1	0.09955680382217424	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GO_ACTININ_BINDING	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.06190015615416433	1	1	1	1	1	1	1	1	0.0288299032893502	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.07753251994014976	1	0.08189452073974235	1	1	1	1	1	1	1	1	1	1	1	1	1	0.001427448262494968
